approach_id,intersection_id,crossing_width_ft,width_iqr_ft,valid_samples
APP_00515,INT_0319,48.0,6.0,5
APP_00516,INT_0319,23.0,5.0,5
APP_00517,INT_0320,58.0,6.75,4
APP_00518,INT_0320,28.0,7.0,5
APP_00519,INT_0322,24.0,11.0,5
APP_00520,INT_0322,58.0,9.0,5
APP_00521,INT_0322,48.0,17.0,5
APP_00522,INT_0322,27.0,16.0,5
APP_00523,INT_0323,60.0,7.0,5
APP_00524,INT_0323,52.0,10.0,5
APP_00525,INT_0324,65.0,3.0,5
APP_00526,INT_0324,23.0,21.0,5
APP_00527,INT_0324,17.0,6.0,5
APP_00528,INT_0325,79.0,0.0,1
APP_00529,INT_0325,52.0,41.0,5
APP_00530,INT_0325,58.0,50.0,5
APP_00531,INT_0326,32.0,9.0,5
APP_00532,INT_0327,57.0,41.0,5
APP_00533,INT_0327,41.0,38.0,5
APP_00534,INT_0328,79.0,4.0,5
APP_00535,INT_0328,79.0,0.0,5
APP_00536,INT_0329,14.0,6.0,5
APP_00537,INT_0329,21.0,10.0,5
APP_00538,INT_0331,14.0,4.0,5
APP_00539,INT_0331,13.0,10.0,5
APP_00540,INT_0332,26.0,14.0,5
APP_00541,INT_0332,11.0,10.0,5
APP_00542,INT_0333,22.0,12.0,5
APP_00543,INT_0333,17.0,26.0,5
APP_00544,INT_0333,28.0,4.0,5
APP_00545,INT_0334,39.0,16.0,5
APP_00546,INT_0334,26.0,4.0,5
APP_00547,INT_0335,42.0,2.0,5
APP_00548,INT_0336,32.0,8.0,5
APP_00549,INT_0337,24.0,12.0,5
APP_00550,INT_0337,54.0,17.0,5
APP_00551,INT_0337,70.0,11.0,5
APP_00552,INT_0338,80.0,1.0,3
APP_00553,INT_0338,24.0,23.0,5
APP_00554,INT_0339,80.0,1.5,3
APP_00555,INT_0339,46.0,18.0,5
APP_00557,INT_0340,21.0,4.0,5
APP_00558,INT_0341,21.0,2.0,5
APP_00559,INT_0342,19.0,7.0,5
APP_00560,INT_0342,36.5,1.5,2
APP_00561,INT_0342,44.0,37.0,5
APP_00562,INT_0343,80.0,0.0,2
APP_00563,INT_0343,61.0,19.0,5
APP_00564,INT_0343,79.0,19.0,5
APP_00565,INT_0344,48.0,2.0,3
APP_00566,INT_0344,30.0,24.0,5
APP_00567,INT_0344,22.0,10.0,5
APP_00568,INT_0345,23.0,7.0,5
APP_00569,INT_0346,23.0,8.0,5
APP_00570,INT_0346,46.0,4.0,5
APP_00571,INT_0347,42.0,3.0,4
APP_00572,INT_0347,66.0,38.0,5
APP_00573,INT_0348,25.0,26.0,5
APP_00574,INT_0348,17.0,14.0,5
APP_00575,INT_0349,26.0,9.0,5
APP_00576,INT_0349,25.0,38.0,5
APP_00577,INT_0350,32.0,18.0,5
APP_00578,INT_0350,30.0,4.0,5
APP_00579,INT_0351,19.0,35.0,5
APP_00580,INT_0351,12.0,14.0,5
APP_00581,INT_0351,24.0,13.0,5
APP_00582,INT_0352,51.0,4.0,5
APP_00583,INT_0353,44.0,13.0,5
APP_00584,INT_0354,31.0,6.0,5
APP_00585,INT_0354,21.0,4.0,5
APP_00586,INT_0355,16.0,11.0,5
APP_00587,INT_0355,15.0,1.0,5
APP_00588,INT_0355,66.0,14.25,4
APP_00589,INT_0356,37.0,11.0,5
APP_00590,INT_0356,59.0,43.0,5
APP_00591,INT_0356,39.0,19.0,5
APP_00592,INT_0360,25.0,25.0,5
APP_00593,INT_0360,59.0,36.0,5
APP_00594,INT_0360,54.0,31.0,5
APP_00595,INT_0361,5.0,2.0,5
APP_00596,INT_0362,11.0,8.0,5
APP_00597,INT_0363,20.0,5.0,5
APP_00598,INT_0363,7.0,7.0,5
APP_00599,INT_0364,16.0,3.0,5
APP_00600,INT_0365,21.0,2.0,5
APP_00601,INT_0368,53.0,29.0,5
APP_00602,INT_0369,29.0,21.0,5
APP_00603,INT_0369,31.0,7.0,5
APP_00604,INT_0369,29.0,5.0,5
APP_00605,INT_0370,28.0,4.0,5
APP_00606,INT_0370,48.0,27.0,5
APP_00607,INT_0370,20.0,6.0,5
APP_00608,INT_0371,80.0,0.0,5
APP_00609,INT_0371,31.0,8.0,5
APP_00610,INT_0371,11.0,2.0,5
APP_00611,INT_0372,57.0,0.0,5
APP_00612,INT_0372,58.0,8.0,5
APP_00613,INT_0373,16.0,4.0,5
APP_00614,INT_0373,18.0,11.0,5
APP_00615,INT_0373,16.0,4.0,5
APP_00616,INT_0374,9.0,3.0,5
APP_00617,INT_0374,15.0,4.0,5
APP_00618,INT_0375,23.0,1.0,5
APP_00619,INT_0376,26.0,39.0,5
APP_00620,INT_0376,68.0,24.0,5
APP_00621,INT_0378,35.0,8.0,5
APP_00622,INT_0378,54.0,15.0,5
APP_00623,INT_0378,62.0,0.0,5
APP_00624,INT_0379,66.0,13.0,5
APP_00625,INT_0379,40.0,9.0,5
APP_00626,INT_0380,38.0,12.0,5
APP_00627,INT_0380,73.0,5.0,5
APP_00628,INT_0381,27.0,12.0,5
APP_00629,INT_0381,53.0,4.0,5
